#job id,arrival time (sec),topology,shape,size,duration (sec)
547,427980.0,CLOS,32,32,4500.0
548,429360.0,CLOS,32,32,8640.0
549,432780.0,CLOS,2,2,0.0
550,433560.0,CLOS,8,8,1800.0
551,434220.0,CLOS,32,32,2280.0
552,435480.0,CLOS,8,8,180.0
553,435840.0,CLOS,8,8,240.0
554,436080.0,CLOS,8,8,60.0
555,436380.0,CLOS,32,32,55920.0
556,436560.0,CLOS,256,256,600.0
557,436680.0,CLOS,2,2,0.0
558,436680.0,CLOS,1,1,1140.0
559,436860.0,CLOS,2,2,19320.0
560,436920.0,CLOS,32,32,1080.0
561,436920.0,CLOS,8,8,180.0
562,436980.0,CLOS,8,8,240.0
563,437160.0,CLOS,2,2,0.0
564,437580.0,CLOS,1,1,19860.0
565,437700.0,CLOS,32,32,480.0
566,437700.0,CLOS,400,400,60.0
567,437700.0,CLOS,8,8,900.0
568,437820.0,CLOS,16,16,60.0
569,437940.0,CLOS,400,400,0.0
570,438300.0,CLOS,16,16,60.0
571,438540.0,CLOS,32,32,4500.0
572,439320.0,CLOS,8,8,29700.0
573,439380.0,CLOS,400,400,540.0
574,439560.0,CLOS,8,8,7140.0
575,439620.0,CLOS,8,8,900.0
576,439920.0,CLOS,88,88,1620.0
577,440040.0,CLOS,400,400,240.0
578,440520.0,CLOS,400,400,24060.0
579,440700.0,CLOS,8,8,60.0
580,440940.0,CLOS,8,8,0.0
581,441180.0,CLOS,8,8,420.0
582,441180.0,CLOS,8,8,360.0
583,441240.0,CLOS,2,2,0.0
584,441420.0,CLOS,40,40,480.0
585,441600.0,CLOS,8,8,0.0
586,441600.0,CLOS,2,2,0.0
587,441720.0,CLOS,8,8,180.0
588,441780.0,CLOS,8,8,180.0
589,442440.0,CLOS,8,8,0.0
590,442980.0,CLOS,80,80,21120.0
591,443040.0,CLOS,88,88,101100.0
592,443100.0,CLOS,2,2,5160.0
593,443220.0,CLOS,1,1,16020.0
594,443340.0,CLOS,1,1,1260.0
595,443880.0,CLOS,8,8,94500.0
596,443940.0,CLOS,64,64,102060.0
597,443940.0,CLOS,8,8,60.0
598,443940.0,CLOS,32,32,7080.0
599,444120.0,CLOS,8,8,6540.0
600,444240.0,CLOS,8,8,6720.0
601,444660.0,CLOS,1,1,1380.0
602,445500.0,CLOS,32,32,5460.0
603,445560.0,CLOS,48,48,180.0
604,445860.0,CLOS,48,48,180.0
605,446340.0,CLOS,48,48,180.0
606,447000.0,CLOS,48,48,180.0
607,447600.0,CLOS,1,1,5580.0
608,448800.0,CLOS,48,48,120.0
609,449160.0,CLOS,4,4,0.0
610,449520.0,CLOS,24,24,160320.0
611,449580.0,CLOS,1,1,23460.0
612,450180.0,CLOS,32,32,780.0
613,450600.0,CLOS,4,4,0.0
614,450780.0,CLOS,16,16,720.0
615,451740.0,CLOS,16,16,2280.0
616,452040.0,CLOS,4,4,0.0
617,452100.0,CLOS,48,48,540.0
618,452340.0,CLOS,4,4,83340.0
619,452760.0,CLOS,48,48,45360.0
620,452820.0,CLOS,4,4,60.0
621,453540.0,CLOS,1,1,2040.0
622,453600.0,CLOS,8,8,1740.0
623,453600.0,CLOS,8,8,1560.0
624,453660.0,CLOS,8,8,5520.0
625,453780.0,CLOS,1,1,1980.0
626,454200.0,CLOS,16,16,300.0
627,454440.0,CLOS,32,32,1680.0
628,455280.0,CLOS,8,8,180.0
629,455400.0,CLOS,16,16,4320.0
630,455520.0,CLOS,8,8,180.0
631,456180.0,CLOS,32,32,4200.0
632,456480.0,CLOS,32,32,0.0
633,456540.0,CLOS,2,2,7680.0
634,456660.0,CLOS,32,32,600.0
635,456900.0,CLOS,8,8,1080.0
636,457320.0,CLOS,32,32,420.0
637,457500.0,CLOS,1,1,17940.0
638,457560.0,CLOS,4,4,20640.0
639,457740.0,CLOS,32,32,2640.0
640,459840.0,CLOS,16,16,1800.0
641,460620.0,CLOS,8,8,1560.0
642,461700.0,CLOS,8,8,780.0
643,461760.0,CLOS,16,16,1320.0
644,462540.0,CLOS,1,1,64500.0
645,462660.0,CLOS,4,4,0.0
646,463020.0,CLOS,8,8,2700.0
647,463200.0,CLOS,1,1,240.0
648,463200.0,CLOS,16,16,1260.0
649,463560.0,CLOS,16,16,300.0
650,463740.0,CLOS,8,8,240.0
651,464040.0,CLOS,32,32,300.0
652,464340.0,CLOS,80,80,72120.0
653,464520.0,CLOS,8,8,300.0
654,464700.0,CLOS,448,448,90960.0
655,465240.0,CLOS,1,1,60.0
656,465540.0,CLOS,3,3,180.0
657,465600.0,CLOS,2,2,7860.0
658,465840.0,CLOS,8,8,180.0
659,465900.0,CLOS,2,2,120.0
660,465960.0,CLOS,16,16,1260.0
661,466020.0,CLOS,3,3,61020.0
662,466920.0,CLOS,32,32,300.0
663,467040.0,CLOS,32,32,300.0
664,467460.0,CLOS,32,32,5820.0
665,467940.0,CLOS,1,1,60.0
666,467940.0,CLOS,32,32,5820.0
667,469140.0,CLOS,8,8,315600.0
668,469200.0,CLOS,8,8,180.0
669,470100.0,CLOS,32,32,5820.0
670,470820.0,CLOS,6,6,600.0
671,471000.0,CLOS,32,32,5760.0
672,471540.0,CLOS,8,8,180.0
673,472200.0,CLOS,8,8,1380.0
674,472380.0,CLOS,1,1,1740.0
675,474240.0,CLOS,4,4,27780.0
676,474360.0,CLOS,1,1,1140.0
677,474480.0,CLOS,16,16,6420.0
678,475440.0,CLOS,1,1,86400.0
679,475800.0,CLOS,1,1,1200.0
680,480900.0,CLOS,8,8,1740.0
