#job id,arrival time (sec),topology,shape,size,duration (sec)
410,10326430,CLOS,0.23,0.23,1213.0
411,10326485,CLOS,0.32,0.32,9479.0
412,10327751,CLOS,0.23,0.23,1095.0
413,10328513,CLOS,0.32,0.32,333.0
414,10330595,CLOS,1.0,1.0,13021.0
415,10336967,CLOS,0.22,0.22,9036.0
416,10337134,CLOS,0.46,0.46,569.0
417,10338801,CLOS,1.0,1.0,1365.0
418,10340196,CLOS,1.0,1.0,1034.0
419,10341278,CLOS,0.46,0.46,1855.0
420,10342138,CLOS,1.0,1.0,268.0
421,10343681,CLOS,0.32,0.32,2323.0
422,10343714,CLOS,1.0,1.0,3925.0000000000005
423,10343715,CLOS,1.0,1.0,4439.0
424,10344404,CLOS,1.0,1.0,1626.0
425,10344444,CLOS,1.0,1.0,4477.0
426,10344620,CLOS,0.32,0.32,1201.0
427,10344645,CLOS,0.23,0.23,429.0
428,10345822,CLOS,0.32,0.32,181.0
429,10345975,CLOS,1.0,1.0,3459.0
430,10347405,CLOS,1.0,1.0,1600.0
431,10347817,CLOS,0.32,0.32,2096.0
432,10348057,CLOS,1.0,1.0,190.0
433,10348477,CLOS,1.0,1.0,4617.0
434,10348594,CLOS,1.0,1.0,4111.0
435,10349004,CLOS,1.0,1.0,616.0
436,10349201,CLOS,1.0,1.0,1491.0
437,10349365,CLOS,1.0,1.0,4491.0
438,10349476,CLOS,0.47,0.47,378.0
439,10349496,CLOS,0.23,0.23,343.0
440,10349561,CLOS,1.0,1.0,1177.0
441,10353158,CLOS,1.0,1.0,2862.0
442,10354340,CLOS,0.47,0.47,3521.0
443,10354755,CLOS,1.0,1.0,234.0
444,10354939,CLOS,1.0,1.0,2034.9999999999998
445,10354953,CLOS,0.46,0.46,540.0
446,10359007,CLOS,1.0,1.0,1281.0
447,10359296,CLOS,1.0,1.0,50.0
448,10360992,CLOS,1.0,1.0,3059.0
449,10361057,CLOS,1.0,1.0,3204.0
450,10361148,CLOS,0.47,0.47,65.0
451,10362192,CLOS,1.0,1.0,2068.0
452,10362464,CLOS,1.0,1.0,1643507.0
453,10362627,CLOS,0.32,0.32,3855.0
454,10364499,CLOS,1.0,1.0,15088.0
455,10366655,CLOS,1.0,1.0,2100.0
456,10366655,CLOS,1.0,1.0,4201.0
